Duplicated name,Without location,Without description,Without website,Unverified,Followers,Followings,Public member,Likes,Total tweets,Age,Default theme,Default photo,Source,Without geotagged,Tweet's retweets,Tweet's likes,Mentions,Hashtags,Link,Label
0,0,0,0,1,4458,2120,205,9999,21247,0,0,0,69,1,1,1,0,1,1,0
0,0,0,1,1,631,985,6,41512,47857,0,0,0,88,1,0,0,2,5,0,0
0,0,0,1,1,0,3,0,88,82,1,1,0,88,1,1,1,0,1,0,1
0,0,0,1,1,452,805,3,3984,1170,0,1,0,93,1,1,1,0,5,0,0
0,0,0,1,1,1090,543,30,22135,40990,0,0,0,92,1,1,1,0,6,1,0
0,0,0,0,1,565,1405,10,15551,18538,0,0,0,90,1,1,1,0,15,0,0
0,0,0,0,0,18299,1039,431,2737,24469,0,0,0,80,1,1,1,0,1,1,0
0,0,0,1,1,1722,1814,7,30072,34730,0,1,0,90,1,0,0,3,1,0,0
0,0,0,1,1,2081,4819,0,1100189,447949,0,1,0,90,1,1,1,0,1,0,0
0,0,0,0,0,14013,1532,304,98331,120703,0,0,0,93,1,2,7,0,2,1,0
0,0,0,0,1,525,63,15,87775,40939,0,0,0,80,1,2,4,0,7,0,0
0,0,0,1,1,85,665,2,4942,15004,0,1,0,93,1,0,0,1,1,0,1
0,1,1,1,1,0,3,0,0,10,0,1,0,93,1,1,1,1,1,0,1
0,0,0,0,1,226,160,11,574,57898,0,1,0,11,1,0,0,0,8,1,1
0,1,0,1,1,36859,5522,113,339319,39712,0,1,0,93,1,16,54,0,4,0,0
0,0,0,0,1,52,59,0,495,8412,0,0,0,26,1,2,1,0,4,1,1
0,0,0,1,1,155,347,2,2302,4381,0,0,0,88,1,1,1,3,4,1,0
0,0,0,0,1,14510,2892,224,62,6116,0,0,0,12,1,1,3,0,1,1,0
0,0,0,0,1,5957,357,250,33,5373,0,0,0,80,1,1,1,0,19,1,1
0,1,0,1,1,104,309,0,1277,3507,0,0,0,93,1,0,0,1,5,1,1
0,0,0,0,1,30,3,0,1203,1624,0,1,0,88,1,0,0,2,3,0,1
0,1,0,0,1,75,271,0,3802,849,0,1,0,90,1,0,0,0,1,1,1
0,0,0,0,1,331,91,4,411,2753,0,1,0,93,1,3,6,0,2,1,0
0,0,0,0,1,914,1751,17,1673,6505,0,0,0,80,1,1,1,0,2,1,0
1,0,0,0,1,1206,463,58,1432,2130,0,0,0,88,1,1,1,3,3,1,0
0,1,0,0,1,4,9,0,0,404,0,1,0,93,1,1,1,0,24,0,1
0,0,0,1,1,1152,3296,222,20584,85384,0,0,0,90,1,1,1,0,1,1,0
0,0,0,0,1,343,901,0,11661,2091,0,1,0,93,1,0,0,0,2,1,1
0,0,0,0,1,1944,1619,140,59578,118963,0,0,0,88,1,0,1,1,2,0,0
0,1,0,0,1,9,155,0,205,97,1,1,0,93,1,0,0,0,13,1,1
0,0,0,0,1,500,635,37,1247,5442,0,0,0,88,1,1,1,0,8,0,0
0,1,0,1,1,101,297,2,335,1396,1,1,0,88,1,2,1,0,5,0,1
0,0,0,1,1,490,416,4,1560,983,0,0,0,88,1,0,1,0,2,1,0
0,1,0,1,1,107,113,3,854,867,0,1,0,88,1,1,1,0,4,1,1
0,0,0,0,1,183,1093,2,715,221,0,1,0,88,1,2,7,0,3,2,0
0,0,0,1,1,3519,3299,1,2545,3225,0,1,0,93,1,1,3,4,3,1,0
0,1,0,1,1,678,231,6,4776,664,0,1,0,88,1,1,1,2,1,1,0
0,0,1,1,1,185,302,28,12913,56821,0,0,0,26,1,0,0,0,1,1,1
0,0,0,0,1,3312,610,91,626,3676,0,0,0,29,1,3,3,1,3,1,0
0,0,0,0,0,142913,3495,222,69812,60333,0,0,0,29,1,1,2,1,2,1,0
0,0,0,1,1,221,195,3,148,725,0,1,0,25,1,1,1,0,2,1,1
0,0,0,0,1,578,337,28,70,2080,0,0,0,29,1,1,1,0,9,1,1
0,0,0,0,1,42,71,0,3,67,1,1,0,29,1,1,1,0,6,2,1
0,0,0,1,1,466,19,8,12,4178,0,1,0,18,1,1,2,0,5,0,1
0,1,0,1,1,12,64,0,341,250,1,1,0,90,1,1,1,0,3,0,1
0,0,0,1,1,1563,2565,11,40117,44573,0,1,0,90,1,0,0,2,2,0,0
0,0,0,0,0,12909,2041,359,6101,93267,0,0,0,101,1,1,1,1,6,1,0
0,0,0,1,1,86,252,1,1929,2493,0,1,0,88,1,1,1,0,2,1,1
0,0,0,0,1,4931,1775,30,10567,4912,0,1,0,93,1,8,16,0,3,0,0
0,0,0,0,1,1461,1268,0,833,4984,0,0,0,88,1,1,2,1,3,1,0
0,0,0,1,1,1082,2479,3,722,934,1,1,0,90,1,0,3,1,4,1,1
0,1,0,1,1,216,145,2,5973,17900,0,0,0,93,1,0,0,0,2,0,1
0,0,0,0,1,3395,3158,134,16395,69081,0,0,0,93,1,1,1,0,4,1,0
0,1,0,1,1,168,5,1,4417,8052,0,1,0,88,1,0,1,1,1,1,1
0,0,0,0,1,6569,6041,82,187850,310266,0,0,0,12,1,3,2,2,13,1,0
0,0,0,0,1,674,1954,15,18602,2889,0,0,0,90,1,0,0,0,2,0,0
