Username,Name,Location,Description,Website,Verified,Followers,Followings,Public member,Likes,Total tweets,Date created,Default theme,Default photo,Tweet's source,Tweet's geotagged,Tweet's retweets,Tweet's likes,Tweet's mentions,Tweet's hashtags,Tweet's link
practiceupdate,PracticeUpdate,"New York, NY",PracticeUpdate is a free website by Elsevier curating content for healthcare professionals by our medical experts to help improve patient care.,http://t.co/Qns339wSjY,FALSE,4458,2120,205,9999,21247,2012-11-06 00:54:20+00:00,FALSE,FALSE,Sprinklr Publishing,,1,1,[],"[{'text': 'covid', 'indices': [144, 150]}]","[{'url': 'https://t.co/maW70WxM2P', 'expanded_url': 'http://spkl.io/60184VGzO', 'display_url': 'spkl.io/60184VGzO', 'indices': [120, 143]}]"
connectingd3,Connecting the Dots,"Texas, USA","Scratching  perspectives 
Supply Chain & Cyber Age are the pivots of the New World order. 
Embrace to maneuver or Challenge to be on offense to Defend.",,FALSE,631,985,6,41512,47857,2011-11-13 15:51:34+00:00,FALSE,FALSE,Twitter Web App,,0,0,"[{'screen_name': 'GuilletteBenot1', 'name': 'Guillette Benoît', 'id': 1316150226445623302, 'id_str': '1316150226445623302', 'indices': [0, 16]}, {'screen_name': 'CNN', 'name': 'CNN', 'id': 759251, 'id_str': '759251', 'indices': [17, 21]}]","[{'text': 'Inflation', 'indices': [51, 61]}, {'text': 'Recesion', 'indices': [97, 106]}, {'text': 'Recession', 'indices': [180, 190]}, {'text': 'COVID', 'indices': [251, 257]}, {'text': 'Ukraine', 'indices': [284, 292]}]",[]
valurank,Valurank,"Austin, TX","I am a bot that evaluates articles. If you want to run the same NLP tools yourself, check out our website, or the Valurank extension on the chrome web store.",https://t.co/O54Ogzib02,FALSE,263,371,11,1,171198,2021-09-26 16:19:54+00:00,TRUE,FALSE,Valurank,,0,0,[],"[{'text': 'Covid', 'indices': [123, 129]}, {'text': 'California', 'indices': [130, 141]}]","[{'url': 'https://t.co/7km3OJ5f4Z', 'expanded_url': 'https://r.valurank.com/APTIwlUW', 'display_url': 'r.valurank.com/APTIwlUW', 'indices': [86, 109]}, {'url': 'https://t.co/VpZxrhehVB', 'expanded_url': 'https://twitter.com/14957318/status/1562872121529110535', 'display_url': 'twitter.com/14957318/statu…', 'indices': [142, 165]}]"
RBozorgipour,Reza Bozorgipour,"Karaj, Iran","Reza Bozorgipour Ph.D 
Researcher and lecturer
Biotechnology, Genetics resources, Traditional medicines, Medicinal plants",,FALSE,0,3,0,88,82,2022-06-13 18:44:22+00:00,TRUE,FALSE,Twitter Web App,,1,1,[],"[{'text': 'COVID', 'indices': [0, 6]}]",[]
dodoscientist,Dr Prachi Stafford 😷💙,"Sheffield, England","Senior lecturer & Researcher in #microbiology, #cellbiology #platelets. Speaks English, Français, Mauritian Creole & basic Hindi. She/her",,FALSE,452,805,3,3984,1170,2016-09-15 13:58:29+00:00,TRUE,FALSE,Twitter for iPhone,,1,1,[],"[{'text': 'Mauritius', 'indices': [15, 25]}, {'text': 'family', 'indices': [35, 42]}, {'text': 'Covid', 'indices': [59, 65]}, {'text': 'Sea', 'indices': [256, 260]}, {'text': 'IslandGirl', 'indices': [261, 272]}]",[]
OnyaDon,Robert Smith,"Blackheath, Blue Mountains","I've covered Olympics, World Cups, Cricket, Kangaroo tours, F1, Brit Opens, MotoGPs, Wimbledons, interest in politics/environment/music & I follow AFC Wimbledon",,FALSE,1090,543,30,22135,40990,2011-03-11 22:14:19+00:00,FALSE,FALSE,Twitter for iPad,,1,1,[],"[{'text': 'vaccinated', 'indices': [35, 46]}, {'text': 'Covid', 'indices': [55, 61]}, {'text': 'US', 'indices': [86, 89]}, {'text': 'Canada', 'indices': [93, 100]}, {'text': 'Djokovic', 'indices': [106, 115]}, {'text': 'USOpen', 'indices': [212, 219]}]","[{'url': 'https://t.co/MIlHnzPaUL', 'expanded_url': 'https://www.nbcnews.com/news/sports/novak-djokovic-unvaccinated-unable-enter-united-states-wont-play-us-op-rcna44816?cid=sm_npd_nn_tw_ma', 'display_url': 'nbcnews.com/news/sports/no…', 'indices': [222, 245]}]"
Paxtree,"Paula Johnstone-Whitehawk,DNM®","Canora, Saskatchewan","Universally walking in a Spiritual Way sharing teachings promoting Life, Love, Peace & Oneness.Traditional, Natural Medicine, DNM®, RAP®, RNP® Practitioner 🇨🇦",https://t.co/Vv2SeiYVlW,FALSE,565,1405,10,15551,18538,2010-07-21 23:48:49+00:00,FALSE,FALSE,Twitter for Android,,1,1,[],"[{'text': 'masks', 'indices': [24, 30]}, {'text': 'glamor', 'indices': [52, 59]}, {'text': 'healthier', 'indices': [105, 115]}, {'text': 'happier', 'indices': [122, 130]}, {'text': 'stylish', 'indices': [149, 157]}, {'text': 'ISOLATED', 'indices': [166, 175]}, {'text': 'World', 'indices': [188, 194]}, {'text': 'plagues', 'indices': [197, 205]}, {'text': 'COVID19', 'indices': [206, 214]}, {'text': 'COVID', 'indices': [215, 221]}, {'text': 'Masks', 'indices': [222, 228]}, {'text': 'maskssavelives', 'indices': [229, 244]}, {'text': 'Mandate', 'indices': [245, 253]}, {'text': 'mandates', 'indices': [254, 263]}, {'text': 'Mentalhealth', 'indices': [264, 277]}]",[]
Paxtree,"Paula Johnstone-Whitehawk,DNM®","Canora, Saskatchewan","Universally walking in a Spiritual Way sharing teachings promoting Life, Love, Peace & Oneness.Traditional, Natural Medicine, DNM®, RAP®, RNP® Practitioner 🇨🇦",https://t.co/Vv2SeiYVlW,FALSE,565,1405,10,15551,18538,2010-07-21 23:48:49+00:00,FALSE,FALSE,Twitter for Android,,1,1,[],"[{'text': 'masks', 'indices': [24, 30]}, {'text': 'glamor', 'indices': [52, 59]}, {'text': 'healthier', 'indices': [105, 115]}, {'text': 'happier', 'indices': [122, 130]}, {'text': 'stylish', 'indices': [149, 157]}, {'text': 'ISOLATED', 'indices': [166, 175]}, {'text': 'World', 'indices': [188, 194]}, {'text': 'plagues', 'indices': [197, 205]}, {'text': 'COVID19', 'indices': [206, 214]}, {'text': 'COVID', 'indices': [215, 221]}, {'text': 'Masks', 'indices': [222, 228]}, {'text': 'maskssavelives', 'indices': [229, 244]}, {'text': 'Mandate', 'indices': [245, 253]}, {'text': 'mandates', 'indices': [254, 263]}, {'text': 'Mentalhealth', 'indices': [264, 277]}]",[]
JInfo4us,JustInfo4us,,,,FALSE,2464,2643,2,8837,218871,2018-12-30 14:57:27+00:00,TRUE,FALSE,Zapier.com,,2,1,[],"[{'text': 'employment', 'indices': [77, 88]}, {'text': 'jobs', 'indices': [89, 94]}, {'text': 'hiring', 'indices': [95, 102]}, {'text': 'job', 'indices': [103, 107]}, {'text': 'jobsearch', 'indices': [108, 118]}, {'text': 'recruitment', 'indices': [119, 131]}, {'text': 'career', 'indices': [132, 139]}, {'text': 'work', 'indices': [140, 145]}, {'text': 'careers', 'indices': [146, 154]}, {'text': 'recruiting', 'indices': [155, 166]}, {'text': 'nowhiring', 'indices': [167, 177]}, {'text': 'business', 'indices': [178, 187]}, {'text': 'resume', 'indices': [188, 195]}, {'text': 'jobseekers', 'indices': [196, 207]}, {'text': 'hr', 'indices': [208, 211]}, {'text': 'jobhunt', 'indices': [212, 220]}, {'text': 'staffing', 'indices': [221, 230]}, {'text': 'humanresources', 'indices': [231, 246]}, {'text': 'jobopening', 'indices': [247, 258]}, {'text': 'jobseeker', 'indices': [259, 269]}, {'text': 'covid', 'indices': [270, 276]}, {'text': 're', 'indices': [277, 280]}]","[{'url': 'https://t.co/DtT5uO5unG', 'expanded_url': 'https://zpr.io/pGJy32TETKS4', 'display_url': 'zpr.io/pGJy32TETKS4', 'indices': [53, 76]}]"
odisseoisback,Odisseo,Brindisi---Corfu---Moon,https://t.co/4qCtKh6PW7 - discover Corfu island like the locals,https://t.co/WGLsOhtJNx,FALSE,330,846,8,1592,9330,2010-12-25 01:10:08+00:00,FALSE,FALSE,Twitter Web App,,2,1,[],"[{'text': 'Corfu', 'indices': [0, 6]}, {'text': 'Greece', 'indices': [7, 14]}, {'text': 'Summer', 'indices': [17, 24]}, {'text': 'Beaches', 'indices': [25, 33]}, {'text': 'Travel', 'indices': [34, 41]}, {'text': 'Excursion', 'indices': [42, 52]}, {'text': 'Vacanze', 'indices': [108, 116]}, {'text': 'Holidays', 'indices': [117, 126]}, {'text': 'Ferie', 'indices': [127, 133]}, {'text': 'urlaub', 'indices': [134, 141]}, {'text': 'Today', 'indices': [143, 149]}, {'text': 'Studios', 'indices': [150, 158]}, {'text': 'Hotel', 'indices': [159, 165]}, {'text': '25August', 'indices': [166, 175]}, {'text': 'island', 'indices': [176, 183]}, {'text': 'Covid', 'indices': [184, 190]}, {'text': 'Assange', 'indices': [191, 199]}, {'text': 'Italy', 'indices': [200, 206]}, {'text': 'putin', 'indices': [207, 213]}, {'text': 'trump', 'indices': [214, 220]}, {'text': 'berlin', 'indices': [221, 228]}, {'text': 'london', 'indices': [229, 236]}, {'text': 'milano', 'indices': [237, 244]}, {'text': 'trump', 'indices': [245, 251]}, {'text': 'sea', 'indices': [252, 256]}, {'text': 'draghi', 'indices': [257, 264]}, {'text': 'venezuela', 'indices': [265, 275]}]","[{'url': 'https://t.co/BbZwjKehaX', 'expanded_url': 'https://odisseo.com/corfu', 'display_url': 'odisseo.com/corfu', 'indices': [76, 99]}]"
