LDA,Label
-1.952,0
-0.721,0
1.983,1
0.234,0
-0.756,0
-0.696,0
-1.965,0
-0.462,0
-0.468,0
-2.258,0
-1.294,0
0.548,1
3.087,1
0.618,1
-0.582,0
0.048,1
-0.218,0
-1.391,0
-0.424,1
0.908,1
0.262,1
0.635,1
-0.069,0
-1.21,0
-1.595,0
3.519,1
-1.116,0
-0.474,1
-1.918,0
2.186,1
-0.865,0
2.038,1
-0.523,0
1.448,1
-0.126,0
-0.21,0
0.478,0
-0.174,1
-1.415,0
-2.6,0
0.842,1
-0.328,1
1.532,1
1.299,1
2.258,1
-0.404,0
-1.735,0
0.706,1
-1.174,0
-0.971,0
0.515,1
0.511,1
-1.733,0
1.202,1
-1.527,0
-1.603,0
0.954,1
0.018,0
1.486,1
-1.695,0
-0.362,0
0.055,0
-0.977,0
-2.154,0
-1.401,0
1.379,1
0.966,1
-1.929,0
2.673,1
1.195,1
1.552,1
1.927,1
-0.113,0
-0.795,0
-0.121,0
0.442,0
0.318,0
1.605,1
-0.109,0
1.296,1
-0.52,0
-0.641,0
0.574,0
0.456,1
-1.464,0
-1.011,0
0.29,0
1.168,1
2.702,1
-0.993,0
-1.59,0
-0.747,0
1.194,1
-0.587,0
2.331,1
-1.446,1
-0.619,0
1.465,1
1.046,1
-2.023,0
-1.964,0
2.315,1
1.575,1
-0.587,0
-1.679,0
3.675,1
-1.128,0
0.598,0
-1.144,0
0.481,1
0.069,1
-1.907,0
-1.963,0
3.167,1
2.293,1
-0.745,0
0.124,0
2.484,1
-0.975,0
0.719,1
-1.027,0
-1.732,0
0.316,0
0.164,1
-1.273,0
-2.246,0
0.567,1
-0.953,0
2.146,1
-1.766,0
-0.306,0
-2.177,0
-1.834,0
1.297,1
0.041,0
-1.916,0
-0.017,1
-1.387,0
-1.415,0
-2.436,0
0.117,1
1.621,1
0.333,1
-0.403,0
0.335,0
-1.349,0
0.054,1
-0.647,0
-1.777,0
2.187,1
-0.224,1
0.026,0
0.893,1
-1.429,0
-0.954,0
-2.418,0
1.917,1
-1.251,0
-0.973,0
0.863,1
-1.213,0
-0.5,1
-1.345,0
0.111,0
-1.15,0
-1.628,0
-0.917,0
3.302,1
0.284,1
-1.798,0
-0.936,1
-1.143,0
0.553,1
1.339,1
-1.425,0
-0.592,0
0.351,1
0.734,1
-1.551,0
-0.394,0
-1.991,0
-0.212,0
-0.539,0
-1.796,0
0.89,1
-0.519,0
0.467,1
2.94,1
1.369,1
1.957,1
-1.532,0
3.252,1
-2.071,0
0.433,1
-1.614,0
0.871,1
1.248,1
-1.083,0
2.45,1
1.213,0
-0.543,0
-1.505,0
0.129,1
-1.075,0
1.542,1
-0.755,1
1.077,1
2.465,1
0.284,0
1.151,1
-0.299,0
-1.789,0
-1.566,0
-0.538,1
0.636,1
-0.651,0
0.829,1
0.056,0
-1.673,0
-0.387,1
-0.402,0
0.966,1
-0.424,0
0.484,0
0.445,1
0.577,1
1.851,1
-0.553,0
-0.172,1
-0.546,0
-0.077,0
-1.158,0
0.228,0
-0.722,0
-1.57,0
-1.088,0
-0.76,0
-1.082,0
-1.03,0
-0.114,1
-1.868,0
-1.959,0
-1.519,0
0.894,1
2.193,1
2.148,1
0.298,1
-0.706,0
3.536,1
-0.198,0
0.546,1
-0.072,0
0.908,1
1.653,1
0.005,0
0.572,1
-0.358,1
1.94,1
1.337,1
-0.723,0
0.784,1
0.616,1
0.502,1
-0.62,0
-1.616,0
-1.712,0
-2.374,0
1.002,1
-1.242,0
0.237,0
-0.494,0
1.837,1
1.22,1
-0.387,0
-2.016,0
1.444,1
-1.657,0
-1.331,0
0.803,1
1.77,1
1.243,1
2.585,1
-0.701,0
0.886,1
-0.304,0
2.738,1
0.949,1
0.018,0
-1.534,0
2.114,1
0.626,0
0.195,0
-0.981,0
2.303,1
-1.046,0
0.749,1
-1.087,0
-1.053,0
-0.527,0
-2.006,0
-0.128,0
3.925,1
0.481,0
-1.271,0
-2.266,0
0.648,1
1.708,1
-0.189,0
1.84,1
2.193,1
1.027,1
0.549,0
-0.263,0
0.706,1
0.794,1
0.02,1
-1.799,0
1.702,1
-2.409,0
1.209,0
1.796,1
3.335,1
0.018,1
-0.84,0
-0.64,1
2.705,1
1.873,1
-1.424,0
-0.581,0
0.862,1
-1.637,0
0.408,1
1.89,1
-0.402,0
-2.625,0
2.157,1
1.34,1
-2.256,0
0.846,1
-1.096,0
-0.185,0
-1.689,0
-0.22,1
-0.005,1
-1.222,0
3.6,1
-0.544,0
1.532,1
0.009,0
-1.846,0
0.75,1
-0.952,0
1.918,1
0.372,1
-1.709,0
2.687,1
0.053,1
-1.204,0
-1.949,0
0.136,0
-1.43,0
-2.147,0
-0.446,0
-2.137,0
-0.713,0
-0.517,0
-1.844,0
-1.142,0
-0.387,0
-1.16,0
-1.569,0
-1.862,0
-0.022,0
-0.264,0
-0.242,0
2.165,1
0.857,1
0.15,1
1.389,1
-1.881,0
0.59,1
1.217,1
-1.422,0
-0.399,0
3.467,1
-0.413,0
-1.343,0
-0.938,0
0.402,1
1.725,1
-1.266,0
-1.388,0
-0.078,0
-0.816,0
-1.0,0
-2.475,0
-1.205,0
0.047,1
-0.952,0
-0.143,1
-1.364,0
-0.504,0
-1.056,0
-2.045,0
-1.063,0
-0.42,0
3.82,1
0.135,0
1.829,1
-0.896,0
0.409,1
3.787,1
-3.143,0
-0.047,0
1.769,1
2.01,1
1.024,1
2.64,1
-1.547,0
-0.911,1
-0.836,0
-0.205,1
-1.227,0
1.947,1
2.412,1
0.865,1
1.679,1
-0.364,0
1.9,1
-1.667,0
1.299,1
1.214,1
-0.898,0
-1.614,0
-0.182,0
1.061,1
2.799,1
-1.891,0
2.449,1
-0.835,0
2.934,1
-0.926,1
1.042,1
-0.295,0
-2.005,0
-1.918,0
0.657,1
1.359,1
-1.213,0
1.283,1
0.841,0
0.493,1
-0.172,0
1.431,1
0.149,0
0.899,1
1.19,1
0.203,1
-1.041,0
-2.191,0
1.982,1
0.323,1
-0.971,0
-1.481,0
-0.276,0
-1.044,0
2.437,1
-0.735,0
1.823,1
-0.976,0
-0.916,0
0.239,1
0.029,1
0.6,1
1.884,1
2.353,1
0.183,0
1.679,1
2.44,1
-2.136,0
0.482,1
0.475,1
-0.779,0
2.099,1
2.386,1
-1.191,0
-1.187,0
1.942,1
-0.084,1
-0.176,0
0.51,1
1.516,1
-1.582,0
1.209,1
-0.73,0
-0.682,0
-0.439,0
3.559,1
1.132,1
-1.22,0
-1.694,0
0.712,1
0.121,0
0.462,1
0.172,0
1.548,1
2.783,1
-0.375,0
1.191,1
-1.409,0
0.652,1
-1.802,0
0.606,1
-0.066,0
0.736,1
-0.394,0
-0.497,0
-0.402,0
-0.563,0
1.045,0
1.904,1
-2.113,0
2.908,1
0.785,1
-0.093,0
-1.6,0
0.791,1
0.422,1
1.286,1
0.506,0
-1.852,0
-0.363,1
-1.488,0
2.117,1
-0.099,0
-0.486,0
0.074,1
-0.636,0
-0.688,0
0.672,0
2.015,1
0.522,1
1.216,1
0.008,0
-0.061,1
-1.339,0
-0.278,0
0.69,1
1.072,1
0.616,1
2.11,1
-2.858,0
-1.419,0
-1.936,0
-1.32,0
1.819,1
1.306,1
-0.586,0
-1.931,0
-0.585,1
-1.245,0
-1.568,0
-0.425,0
3.708,1
2.249,1
1.596,1
0.439,1
2.051,1
-1.724,0
2.223,1
-1.23,0
-1.7,0
-1.817,0
-0.804,0
-1.744,0
-0.589,0
-3.334,0
-1.529,0
-1.098,0
-1.452,0
-1.376,0
-1.752,0
0.663,1
0.539,1
-1.315,0
-1.828,1
-1.806,0
1.134,1
-0.348,0
0.236,1
-1.35,0
0.852,1
-0.089,0
0.824,0
3.128,1
3.158,1
-1.847,0
-1.512,0
0.236,1
2.729,1
